업종명,업소명,영업소 주소(도로명),우편번호(도로명),소재지전화,데이터기준일자
숙박업(일반),별모텔,대전광역시 대덕구 동서대로1748번길 11 (비래동),34419,042-672-0789,2024-08-13
숙박업(일반),장수여관,대전광역시 대덕구 우암로 441 (비래동),34418,042-622-8884,2024-08-13
숙박업(일반),금호여관,대전광역시 대덕구 대전로 1139 (오정동),34437,042-632-9255,2024-08-13
숙박업(일반),큐모텔,대전광역시 대덕구 오정로76번길 77 (오정동),34439,042-622-7799,2024-08-13
숙박업(일반),금강장여관,대전광역시 대덕구 신탄진로810번길 15 (신탄진동),34311,042-932-6262,2024-08-13
숙박업(일반),(주)더휴식 소륜대전지점,대전광역시 대덕구 대전로 1394 (읍내동),34360,042-672-7777,2024-08-13
숙박업(일반),대청파크,대전광역시 대덕구 덕암로148번길 24 (상서동),34334,042-931-2407,2024-08-13
숙박업(일반),서원장,대전광역시 대덕구 덕암로265번길 59 (덕암동),34330,042-932-5785,2024-08-13
숙박업(일반),연희여인숙,대전광역시 대덕구 신탄진동로7번길 41 (신탄진동),34311,042-933-6949,2024-08-13
숙박업(일반),월호텔,대전광역시 대덕구 신탄진로681번길 44 (덕암동),34331,042-932-7868,2024-08-13
숙박업(일반),드래곤캐슬모텔,대전광역시 대덕구 중리로7번길 14-9 (중리동),34394,070-5056-0970,2024-08-13
숙박업(일반),서울파크,대전광역시 대덕구 신탄진로810번길 41 (신탄진동),34310,042-931-3161,2024-08-13
숙박업(일반),행복장여관,대전광역시 대덕구 신탄진동로7번길 45 (신탄진동),34311,042-932-8689,2024-08-13
숙박업(일반),해와달모텔,대전광역시 대덕구 신탄진동로23번길 73 (신탄진동),34311,042-933-7896,2024-08-13
숙박업(일반),23번가,대전광역시 대덕구 신탄진동로23번길 69 (신탄진동),34311,042-931-2320,2024-08-13
숙박업(일반),아리아파크,대전광역시 대덕구 신탄진동로7번길 39 (신탄진동),34311,042-932-4642,2024-08-13
숙박업(일반),한양모텔,대전광역시 대덕구 중리로7번길 14-20 (중리동),34394,042-632-0066,2024-08-13
숙박업(일반),저스트스테이호텔 신탄진역점,대전광역시 대덕구 신탄진동로23번길 60 (신탄진동),34309,042-933-1773,2024-08-13
숙박업(일반),보람파크,대전광역시 대덕구 신탄진로810번길 31 (신탄진동),34311,042-931-8133,2024-08-13
숙박업(일반),만년모텔,대전광역시 대덕구 중리로7번길 6-14 (중리동),34394,042-632-6767,2024-08-13
숙박업(일반),500th모텔,대전광역시 대덕구 신탄진로810번길 56 (신탄진동),34310,042-933-0586,2024-08-13
숙박업(일반),청실모텔,대전광역시 대덕구 한밭대로1129번길 26 (중리동),34394,042-621-7774,2024-08-13
숙박업(일반),로얄파크,대전광역시 대덕구 신탄진로796번길 52 (신탄진동),34310,042-934-6861,2024-08-13
숙박업(일반),아우디모텔,대전광역시 대덕구 신탄진로810번길 46 (신탄진동),34310,042-935-5650,2024-08-13
숙박업(일반),호텔아느로,대전광역시 대덕구 한밭대로1149번길 15-9 (중리동),34395,042-634-5551,2024-08-13
숙박업(일반),호텔어반브라운,대전광역시 대덕구 한밭대로1149번길 15-11 (중리동),34395,042-633-8042,2024-08-13
숙박업(일반),란모텔,대전광역시 대덕구 중리로7번길 14-10 (중리동),34394,042-633-7111,2024-08-13
숙박업(일반),럭셔리모텔,대전광역시 대덕구 신탄진동로7번길 32 (신탄진동),34311,042-621-3510,2024-08-13
숙박업(일반),그랜드파크,대전광역시 대덕구 신탄진로218번길 57-9 (와동),34346,042-634-5539,2024-08-13
숙박업(일반),블루모텔,대전광역시 대덕구 신탄진동로35번길 5 (신탄진동),34310,042-935-5557,2024-08-13
숙박업(일반),밀라노모텔,대전광역시 대덕구 한밭대로1149번길 33 (중리동),34395,042-624-8802,2024-08-13
숙박업(일반),알프스파크,대전광역시 대덕구 신탄진로790번길 44 (신탄진동),34310,042-934-5000,2024-08-13
숙박업(일반),청산파크,대전광역시 대덕구 신탄진로844번길 26 (신탄진동),34306,042-933-8266,2024-08-13
숙박업(일반),투유파크,대전광역시 대덕구 신탄진동로 29 (신탄진동),34310,042-933-9052,2024-08-13
숙박업(일반),휠모텔,대전광역시 대덕구 중리로21번길 23 (중리동),34394,042-631-8777,2024-08-13
숙박업(일반),프로포즈모텔,대전광역시 대덕구 중리로7번길 18 (중리동),34394,042-635-2325,2024-08-13
숙박업(일반),삼오모텔,대전광역시 대덕구 신탄진동로7번안길 23 (신탄진동),34311,042-933-0035,2024-08-13
숙박업(일반),만월호텔 중리점,대전광역시 대덕구 중리로7번길 14-17 (중리동),34394,042-625-8777,2024-08-13
숙박업(일반),모텔하얏트,대전광역시 대덕구 신탄진로810번길 33 (신탄진동),34311,042-931-0336,2024-08-13
숙박업(일반),신탄진페이지,대전광역시 대덕구 신탄진동로35번길 9 (신탄진동),34310,042-934-7751,2024-08-13
숙박업(일반),호텔나인,대전광역시 대덕구 한밭대로1149번길 19 (중리동),34395,042-621-3550,2024-08-13
숙박업(일반),꿈의궁전,대전광역시 대덕구 신탄진로810번길 54 (신탄진동),34310,042-931-0103,2024-08-13
숙박업(일반),발렌타인,대전광역시 대덕구 신탄진로790번길 40 (신탄진동),34310,042-934-6223,2024-08-13
숙박업(일반),큐모텔,대전광역시 대덕구 중리로7번길 6-7 (중리동),34394,042-633-3517,2024-08-13
숙박업(일반),썸모텔,대전광역시 대덕구 중리로7번길 6-23 (중리동),34394,042-632-8818,2024-08-13
숙박업(일반),에스모텔(S모텔),대전광역시 대덕구 중리로7번길 6-8 (중리동),34394,042-632-4916,2024-08-13
숙박업(일반),큐모텔,대전광역시 대덕구 신탄진로804번길 5 (신탄진동),34311,042-931-5797,2024-08-13
숙박업(일반),세영모텔,대전광역시 대덕구 신탄진로804번길 7 (신탄진동),34311,042-932-8525,2024-08-13
숙박업(일반),호텔잠,대전광역시 대덕구 신탄진동로7번안길 38 (신탄진동),34309,042-933-5455,2024-08-13
숙박업(일반),레드파크,대전광역시 대덕구 신탄진동로 27 (신탄진동),34310,042-933-3274,2024-08-13
숙박업(일반),모텔로망스,대전광역시 대덕구 신탄진동로7번안길 24 (신탄진동),34311,042-932-0096,2024-08-13
숙박업(일반),프린스파크,대전광역시 대덕구 신탄진동로 33 (신탄진동),34310,042-932-0113,2024-08-13
숙박업(일반),귀빈모텔,대전광역시 대덕구 중리로7번길 6-10 (중리동),34394,042-631-9194,2024-08-13
숙박업(일반),저스트슬립호텔 신탄진역점,대전광역시 대덕구 신탄진로810번길 32 (신탄진동),34311,042-932-4600,2024-08-13
