연번,업종명,업소명,영업소 주소(도로명),소재지전화,객실수,한실수,양실수
1,숙박업(일반),무명여관,대전광역시 서구 계룡로620번길 7 (용문동),042-523-9401,15,12,3
2,숙박업(일반),신온장여관,대전광역시 서구 도산로 216 (변동),042-523-1388,17,7,10
3,숙박업(일반),청수파크,대전광역시 서구 계룡로636번길 14-27 (용문동),042-535-5022,20,15,5
4,숙박업(일반),백운장여관,대전광역시 서구 가장로 128 (가장동),042-533-4321,18,9,9
5,숙박업(일반),용문파크,대전광역시 서구 도산로 378 (용문동),042-536-5222,14,3,11
6,숙박업(일반),모텔퀸,대전광역시 서구 도마3길 26 (도마동),042-522-8895,19,8,11
7,숙박업(일반),엠모텔,대전광역시 서구 도솔5길 5 (도마동),042-534-4251,19,7,12
8,숙박업(일반),동경,대전광역시 서구 변동로 48-17 (변동),042-524-9952,15,2,13
9,숙박업(일반),맥(MAC)Ⅱ,대전광역시 서구 계룡로636번길 14-19 (용문동),042-523-2255,18,3,15
10,숙박업(일반),JNK(제이앤케이)모텔,대전광역시 서구 계룡로620번길 32 (괴정동),042-525-0932,32,4,28
11,숙박업(일반),더봄호텔,대전광역시 서구 용문로 45 (괴정동),042-522-0516,28,4,24
12,숙박업(일반),맥(MAC),대전광역시 서구 계룡로636번길 14-17 (용문동),042-534-1158,28,4,24
13,숙박업(일반),스테이큐용문,대전광역시 서구 계룡로636번길 14-15 (용문동),0507-1328-8046,23,0,23
14,숙박업(일반),동양파크,대전광역시 서구 도마1길 29 (도마동),,18,3,15
15,숙박업(일반),보보스모텔,대전광역시 서구 용문로 41-54 (괴정동),042-527-0671,32,2,30
16,숙박업(일반),모텔카카오,대전광역시 서구 계룡로620번길 49 (용문동),042-528-1515,28,0,28
17,숙박업(일반),올리브모텔,대전광역시 서구 용문로 41-30 (괴정동),042-533-6005,32,0,32
18,숙박업(일반),호텔컨티뉴대전점,대전광역시 서구 월평로 53-9 (월평동),042-486-3333,43,0,43
19,숙박업(일반),자자,대전광역시 서구 계룡로620번길 33 (용문동),042-527-9940,36,0,35
20,숙박업(일반),호텔카카오2호점,대전광역시 서구 용문로 53 (괴정동),042-531-5595,25,2,23
21,숙박업(일반),모텔 하니,"대전광역시 서구 월평북로 88-16, 4,5층 (월평동)",042-489-1801,21,0,21
22,숙박업(일반),블랙호텔,대전광역시 서구 용문로 65 (용문동),042-535-0070,31,0,31
23,숙박업(일반),그리피스모텔,대전광역시 서구 용문로 49 (괴정동),042-531-9000,25,5,20
24,숙박업(일반),워커힐모텔,대전광역시 서구 월평로 47 (월평동),042-489-7720,50,10,40
25,숙박업(일반),더블유모텔,대전광역시 서구 용문로 67 (용문동),042-537-6666,35,0,35
26,숙박업(일반),로데오모텔,대전광역시 서구 둔산로31번길 34 (둔산동),042-471-6868,45,4,41
27,숙박업(일반),포시즌모텔,"대전광역시 서구 둔산남로105번길 32, 3~6층 (둔산동)",042-471-5335,41,5,36
28,숙박업(일반),W모텔,대전광역시 서구 월평북로 88-10 (월평동),042-488-8778,22,0,22
29,숙박업(일반),호텔무인텔,대전광역시 서구 장안로 354-20 (장안동),042-585-0751,23,0,23
30,숙박업(일반),더호텔아리아,대전광역시 서구 대덕대로234번길 21 (둔산동),042-471-0831,46,0,38
31,숙박업(일반),갤러리모텔,대전광역시 서구 둔산남로 98-16 (탄방동),042-476-4100,50,2,48
32,숙박업(일반),오백호모텔,대전광역시 서구 둔산로65번길 39 (둔산동),042-471-3361,46,4,42
33,숙박업(일반),호텔데이즈(Hotel DAYS),대전광역시 서구 둔산남로 98-11 (탄방동),042-483-4301,38,6,32
34,숙박업(일반),샘보석사우나모텔,대전광역시 서구 청사로123번길 38 (월평동),042-487-3003,32,6,26
35,숙박업(일반),디엠프레스호텔,대전광역시 서구 한밭대로570번길 29-20 (월평동),042-485-3030,66,0,66
36,숙박업(일반),모텔코보스,대전광역시 서구 둔산로73번길 25 (둔산동),042-471-0533,42,1,41
37,숙박업(일반),대전브라운도트 월평점,"대전광역시 서구 월평로 53-8, 3~7층 (월평동)",042-482-9625,45,3,42
38,숙박업(일반),리더스모텔,대전광역시 서구 둔산로73번길 37 (둔산동),042-486-9796,40,8,32
39,숙박업(일반),저스트슬립호텔 대전둔산점,"대전광역시 서구 둔산로137번길 21, 6~7층 (둔산동)",042-472-8469,34,4,30
40,숙박업(일반),호텔프라이데이(Hotel Friday),"대전광역시 서구 둔산중로58번길 35 (둔산동,(3-6층))",042-471-5380,44,3,41
41,숙박업(일반),호텔레인보우,"대전광역시 서구 월평로 53-10 (월평동,B동)",042-476-1818,45,2,43
42,숙박업(일반),HOTEL LUIS(호텔루이스),"대전광역시 서구 둔산중로40번길 19 (둔산동,5.6.7층)",042-483-0061,37,0,37
43,숙박업(일반),호텔어썸,대전광역시 서구 도산로369번길 29 (용문동),042-524-0770,34,0,34
44,숙박업(일반),휴앤유관광호텔,대전광역시 서구 한밭대로570번길 29-12 (월평동),042-471-8002,54,3,51
45,숙박업(일반),탑모텔,대전광역시 서구 계룡로636번길 15 (용문동),042-534-2772,32,0,32
46,숙박업(일반),호텔카라,대전광역시 서구 월평로 57 (월평동),042-478-5533,42,2,40
47,숙박업(일반),수모텔,대전광역시 서구 둔산로65번길 34 (둔산동),042-472-1085,35,2,33
48,숙박업(일반),미드멜리호텔,"대전광역시 서구 둔산중로40번길 27 (둔산동,(3~7층))",042-487-3009,44,10,34
49,숙박업(일반),에스엠호텔,대전광역시 서구 계룡로636번길 14-13 (용문동),042-533-1848,28,0,28
50,숙박업(일반),아이엔지,대전광역시 서구 둔산중로40번길 34 (둔산동),042-471-0071,45,2,43
51,숙박업(일반),코지모텔,대전광역시 서구 도산로 114 (도마동),,15,0,15
52,숙박업(일반),프라임모텔,대전광역시 서구 둔산로65번길 30 (둔산동),042-482-5646,35,1,34
53,숙박업(일반),로또,"대전광역시 서구 대덕대로234번길 29 (둔산동,(5~8층))",042-485-2288,39,2,37
54,숙박업(일반),부띠크호텔락희,대전광역시 서구 대덕대로220번길 23 (둔산동),042-482-0100,54,0,54
55,숙박업(일반),토요코인 대전정부청사앞,대전광역시 서구 둔산중로134번길 13 (둔산동),042-545-1045,300,0,300
56,숙박업(일반),썸무인텔,"대전광역시 서구 계룡로636번길 24, 1~6층동 (용문동)",042-526-1247,41,0,41
