업종명,업소명,영업소 주소(도로명),영업소 주소(지번),소재지전화,객실수
숙박업(일반),첼로파크여관,대전광역시 중구 목척7길 30 (은행동),대전광역시 중구 은행동 115-5 ,042-226-6226,14
숙박업(일반),한성여인숙,대전광역시 중구 동서대로1327번길 1 (용두동),대전광역시 중구 용두동 116-10 ,042-257-7562,8
숙박업(일반),화성모텔,대전광역시 중구 충무로 160-1 (문창동),대전광역시 중구 문창동 67-57 ,042-271-7198,14
숙박업(일반),남도 여인숙,대전광역시 중구 오류로 19-11 (오류동),대전광역시 중구 오류동 170-25 ,042-523-8923,7
숙박업(일반),영일장,대전광역시 중구 목척1길 11 (은행동),대전광역시 중구 은행동 10-2 ,042-252-3232,14
숙박업(일반),둥지파크,"대전광역시 중구 목척1길 50 (은행동,,4)","대전광역시 중구 은행동 118-3 ,4 ",042-255-1250,18
숙박업(일반),에이스텔,대전광역시 중구 유등천동로 326-10 (산성동),대전광역시 중구 산성동 143-2 ,042-583-4503,13
숙박업(일반),허브모텔,대전광역시 중구 목척1길 29 (은행동),대전광역시 중구 은행동 133-1 ,042-253-2525,30
숙박업(일반),동양여관,대전광역시 중구 대흥로111번길 30-10 (대흥동),대전광역시 중구 대흥동 452-20 ,042-221-4334,12
숙박업(일반),그린파크,대전광역시 중구 유등천동로324번길 16 (산성동),대전광역시 중구 산성동 142-9 ,042-582-4487,9
숙박업(일반),정림여관,대전광역시 중구 목척9길 22 (은행동),대전광역시 중구 은행동 117-1 ,042-256-9587,16
숙박업(일반),송덕장여관,대전광역시 중구 중앙로137번길 55 (선화동),대전광역시 중구 선화동 19-3 ,,17
숙박업(일반),만월호텔대흥점,"대전광역시 중구 대흥로165번길 35, 1-6층 (대흥동)",대전광역시 중구 대흥동 142-1 (1-6층) ,042-223-6778,29
숙박업(일반),자스민모텔,대전광역시 중구 중앙로112번길 42 (대흥동),대전광역시 중구 대흥동 464-1 ,042-256-8006,13
숙박업(일반),안흥여관,대전광역시 중구 목척2길 45 (은행동),대전광역시 중구 은행동 122 ,042-256-8249,10
숙박업(일반),백제장여관,대전광역시 중구 중앙로16번길 19-11 (문화동),대전광역시 중구 문화동 1-170 ,042-253-9291,19
