업체명,주소,전화번호
럭키호텔,대전광역시 중구 당디로 112 럭키호텔 (유천동),042-583-9481
토요코인 대전정부청사앞,대전광역시 서구 둔산중로134번길 13 (둔산동),042-545-1045
호텔 스탕달,"대전광역시 유성구 온천북로14, 3층~13층 ",042-822-1345
레지던스호텔힐링,"대전광역시 서구 둔산로51번길 76, 2층~12층 (둔산동)",042-485-0161
호텔그레이톤둔산,"대전광역시 서구 둔산중로 70, 3층~15층 (둔산동) ",042-483-3100
㈜굿모닝레지던스호텔휴,"대전광역시 서구 둔산로73번길 21, 1~11층 (둔산동) ",042-489-4000
부띠크호텔락희,대전광역시 서구 대덕대로220번길 23 (둔산동) ,042-482-0100
레지던스호텔라미아,"대전광역시 서구 둔산로51번길 42, 2~10층 (둔산동) ",042-334-0100
대전나무호텔,대전광역시 유성구 온천서로 30-6(봉명동) ,042-822-3445
대림호텔,대전광역시 중구 대종로505번길 50 (선화동),042-251-9500
호텔레인보우,대전광역시 서구 월평로 53-10 호텔레인보우 (월평동),042-476-1818
블랙호텔,대전광역시 서구 용문로 65 용문동 (용문동),042-535-0070
금모텔,대전광역시 중구 문창로 85-5 (문창동),042-222-2626
호텔나인,대전광역시 대덕구 한밭대로1149번길19(중리동),042-635-6233
아우디모텔,대전광역시 대덕구 신탄진로810번길46(신탄진동),042-935-5650
스카이모텔,대전광역시 대덕구 신탄진동로23번길43(신탄진동),042-936-1555
소풍,대전광역시 동구 동서대로1705번길 42 (용전동),042-625-9559
엣스주식회사,대전광역시 유성구 계룡로123번길 67 지상1-9층(봉명동),042-867-9400
케이비모텔,대전광역시 동구 동서대로1705번길 58-18 (용전동),042-636-5858
아로마모텔,대전광역시 대덕구 신탄진동로7번길 29 (신탄진동),042-935-2333
오페라모텔,대전광역시 중구 대종로606번길 36 (선화동),042-257-5231
잉카의태양,대전광역시 중구 당디로124번길 47 (유천동),070-4215-8509
테마모텔,대전광역시 중구 대흥로169번길 12 (대흥동),042-223-9100
자바모텔,대전광역시 중구 중앙로109번길 36 (선화동),042-256-6191
초원의집모텔,대전광역시 중구 문창로94번길 28 (문창동),042-537-3367
커플모텔,대전광역시 중구 대흥로158번길 13 (대흥동),042-256-7716
시네마모텔,대전광역시 중구 대종로 418 (대흥동),042-252-3107
앙코르,대전광역시 중구 대종로396번길 8 (대흥동),042-242-8080
69모텔,대전광역시 중구 대종로452번길 48 (대흥동),042-255-6933
호텔버스,대전광역시 중구 계룡로921번길 16 (대사동),042-222-1103
메이저모텔,대전광역시 중구 대흥로 18 (대사동),042-223-0310
레이크모텔,대전광역시 중구 계룡로921번길 11 (대사동),042-254-5551
갤러리모텔,대전광역시 서구 둔산남로 98-16 (탄방동),042-476-4100
샘보석사우나모텔,대전광역시 서구 청사로123번길 38 (월평동),042-487-3003
더블유모텔,대전광역시 서구 용문로 67 (용문동),042-537-6666
SM모텔,대전광역시 서구 둔산중로58번길 35 (둔산동),042-471-5381
프라임모텔,대전광역시 서구 둔산로65번길 30 (둔산동),042-482-5646
큐모텔,대전광역시 서구 둔산중로40번길 34 (둔산동),042-471-0071
오백호모텔,대전광역시 서구 둔산로65번길 39 (둔산동),042-471-3361
리더스모텔,대전광역시 서구 둔산로73번길 37 (둔산동),042-486-9796
보보스모텔,대전광역시 서구 용문로 41-54 (괴정동),042-527-0671
파타야모텔,대전광역시 동구 대전천동로 482-1 (인동),042-285-2356
아리아모텔,대전광역시 동구 한밭대로1316번길 44 (용전동),042-635-9600
